species_ID,barbs,meringo,rgroup,tailpipe_fused,unknown_to_me
fluvica,no,0,0,0,0
rhathyme,no,0,0,1,0
appalachiensis,yes,0,0,0,0
inextricata,yes,0,0,0,0
calciphala,yes,0,0,0,0
auricula,no,0,0,1,0
torrenticola,no,0,1,1,0
sierranevadensis,no,0,0,0,1
borkenti,no,0,1,1,0
distincta,no,0,1,1,0
gelhausi,no,0,1,1,0
rudis,no,0,1,1,0
turneri,no,0,1,1,0
johannseni,no,0,0,0,1
pycta,no,0,1,1,0
lobata,no,1,0,1,0
xavia,no,1,0,1,0
merjalisco,no,0,0,0,1
midahoensis,no,0,0,1,0
arge,no,1,0,1,0
